method,nearest_group,score,ranking(closer=left)
cos:func,发现存疑,0.431,发现存疑(0.431) > 王越(0.299) > 对照(0.185) > 岳飞(0.170)
cos:uni,发现存疑,0.444,发现存疑(0.444) > 王越(0.278) > 岳飞(0.242) > 对照(0.065)
cos:bigram,发现存疑,0.315,发现存疑(0.315) > 岳飞(0.017) > 王越(0.003) > 对照(0.000)
cos:mfw80,王越,0.506,王越(0.506) > 发现存疑(0.489) > 岳飞(0.383) > 对照(0.139)
cos:tfidf-uni,发现存疑,0.395,发现存疑(0.395) > 王越(0.179) > 岳飞(0.174) > 对照(0.036)
cos:prosodic,发现存疑,0.999,发现存疑(0.999) > 岳飞(0.997) > 王越(0.989) > 对照(0.978)
burrowsDelta:mfw,发现存疑,0.529,发现存疑(0.529) < 岳飞(0.663) < 王越(0.679) < 对照(0.786)
cosineDelta:mfw,发现存疑,0.744,发现存疑(0.744) < 岳飞(1.038) < 对照(1.114) < 王越(1.215)
