view,n_classes,n_docs,knn1_loo_accuracy,centroid_loo_accuracy
func,2,36,0.5000,0.6389
uni,2,36,0.6667,0.8056
bigram,2,36,0.7778,0.6944
mfw80,2,36,0.6111,0.7222
tfidf-uni,2,36,0.6389,0.7778
prosodic,2,36,0.5000,0.5278
