target_poem,view,nearest_poem,nearest_group,cosine
满江红·怒发冲冠（写怀）,func,满江红·与祝允哲述怀,发现存疑,0.545
满江红·怒发冲冠（写怀）,uni,满江红·与祝允哲述怀,发现存疑,0.505
满江红·怒发冲冠（写怀）,bigram,满江红·与祝允哲述怀,发现存疑,0.391
满江红·怒发冲冠（写怀）,mfw80,满江红·与祝允哲述怀,发现存疑,0.581
满江红·怒发冲冠（写怀）,tfidf-uni,满江红·与祝允哲述怀,发现存疑,0.467
满江红·怒发冲冠（写怀）,prosodic,满江红·和岳元帅述怀,发现存疑,0.999
