组,n_docs,n_chars,cos_虚词,cos_单字,cos_二元组,BurrowsDelta_虚词,JSD_单字,JSD_二元组,containment_字,containment_二元组
岳飞_全,13,848,0.1705,0.2416,0.0174,0.7522,0.7822,0.9801,0.5632,0.0435
岳飞_高可靠,4,248,0.1188,0.1852,0.0199,0.6743,0.8069,0.9751,0.3103,0.0326
王越,23,1240,0.2992,0.2779,0.0029,0.496,0.796,0.989,0.4598,0.0109
苏轼对照,1,93,0.1846,0.0654,0.0,0.5981,0.9314,1.0,0.069,0.0
族谱存疑,2,186,0.4308,0.444,0.3151,0.3784,0.5394,0.6913,0.6667,0.4457
