 			第七部
伛	上	S:七麌	
伞	上去	S:十四旱,Q:十五翰	第七部
伟	上	S:五尾	第三部
传	平去	P:一先,Q:十七霰	第七部
伣	去	Q:十七霰	
伤	平	P:七阳	第二部
伥	平去	P:七阳,Q:二十四敬	
伦	平	P:十一真	第六部
伧	平	P:八庚	第十一部
伪	去	Q:四寘	第三部
伫	上	S:六语	第四部
伯	入	R:十一陌	第十七部
估	上	S:七麌	第四部
伴	上去	S:十四旱,Q:十五翰	第七部
伶	平	P:九青	第十一部
伸	平	P:十一真	第六部
伺	去	Q:四寘	第三部
伻	平	P:八庚	
似	上	S:四纸	第三部
伽	平	P:五歌	
伾	平	P:四支	
佃	平去	P:一先,Q:十七霰	第七部
但	上去	S:十四旱,Q:十五翰	第七部
佌	上	S:四纸	
位	去	Q:四寘	第三部
低	平	P:八齐	第三部
住	去	Q:七遇	第四部
佐	去	Q:二十一个	第九部
佑	去	Q:二十六宥	第十二部
体	上	S:八荠	第三部
何	平	P:五歌	第九部
佖	入	R:四质	
佗	平	P:五歌	第九部
佘	平	P:六麻	第十部
余	平	P:六鱼	
佚	入	R:四质	第十七部
佛	入	R:四质,R:五物	第十八部
作	去入	Q:七遇,Q:二十一个,R:十药	第九部,第十六部
佞	去	Q:二十五径	第十一部
你	上	S:四纸	第三部
佣	平	P:二冬	第一部
佥	平	P:十四盐	第十四部
佩	去	Q:十一队	第三部
佯	平	P:七阳	第二部
佰	入	R:十一陌	
佳	平	P:四支,P:九佳	第五部,第十部
佶	入	R:四质	
佸	入	R:七曷	
佹	上	S:四纸	
佺	平	P:一先	
佻	平上	P:二萧,S:十七筱	第八部
佼	平上	P:三肴,S:十八巧	第八部
佽	去	Q:四寘	
佾	入	R:四质	
使	上去	S:四纸,Q:四寘	第三部
侀	平	P:九青	
侁	平	P:十一真	
侃	上去	S:十四旱,Q:十五翰	第七部
侄	入	R:四质,R:九屑	第十七部
侅	平	P:十灰	
侈	上	S:四纸	第三部
例	去	Q:八霁	第三部
侍	去	Q:四寘	第三部
侏	平	P:七虞	第四部
侐	去入	Q:四寘,R:十三职	
侑	去	Q:二十六宥	第十二部
侔	平	P:十一尤	第十二部
侗	平上	P:一东,S:一董	
侘	平去	P:六麻,Q:二十二祃	第十部
供	平去	P:二冬,Q:二宋	第一部
侜	平	P:十一尤	
依	平	P:五微	第三部
侠	入	R:十六叶	第十八部
侣	上	S:六语	第四部
侥	平上	P:二萧,S:十七筱	第八部
侦	平去	P:八庚,Q:二十四敬	第十一部
侧	入	R:十三职	第十七部
侨	平	P:二萧	第八部
侩	去	Q:九泰	第三部
侪	平	P:九佳	第五部
侬	平	P:二冬	第一部
侮	上	S:七麌	第四部
侯	平	P:十一尤	第十二部
侲	平去	P:十一真,Q:十二震	
侳	去	Q:二十一个	
侵	平	P:十二侵	第十三部
侹	上	S:二十四迥	
侺	去	Q:二十七沁	
便	平去	P:一先,Q:十七霰	第七部
促	入	R:二沃	第十五部
俄	平	P:五歌	第九部
俅	平	P:十一尤	
俊	去	Q:十二震	第六部
俎	上去	S:六语,Q:六御	第四部
俏	去	Q:十八啸	第八部
俑	上	S:二肿	第一部
俗	入	R:二沃	第十五部
俘	平	P:七虞	第四部
俙	平	P:三肴	
俚	上	S:四纸	
俛	上	S:十六铣	
俜	平	P:九青	第十一部
保	上	S:十九皓	第八部
俞	平	P:七虞	第四部
俟	上	S:四纸	第三部
信	去	Q:十二震	第六部
俣	上	S:七麌	
俦	平	P:十一尤	第十二部
俨	上	S:二十八琰	第十四部
俪	去	Q:八霁	第三部
俭	上	S:二十八琰	第十四部
修	平	P:十一尤	第十二部
俯	上	S:七麌	第四部
俱	平	P:七虞	第四部
俳	平	P:九佳	第五部
俴	上	S:十六铣	
俵	去	Q:十八啸	
俶	入	R:一屋	
俸	上去	S:一董,Q:二宋	第一部
俺	去	Q:二十九艳	第十四部
俾	平上	P:四支,S:四纸	
倅	去入	Q:十一队,R:六月	
倌	平	P:十四寒	第七部
倍	上	S:十贿	第五部
倏	入	R:一屋	第十五部
倒	上去	S:十九皓,Q:二十号	第八部
倓	平	P:十三覃	
倔	入	R:五物	第十八部
倕	平去	P:四支,Q:四寘	
倘	上	S:二十二养	第二部
候	去	Q:二十六宥	第十二部
倚	上去	S:四纸,Q:四寘	第三部
倜	入	R:十二锡	第十七部
借	去入	Q:二十二祃,R:十一陌	第十部
倡	平	P:七阳	第二部
倢	入	R:十六叶	
倥	平	P:一东	
倦	去	Q:十七霰	第七部
倨	去	Q:六御	第四部
倩	去	Q:十七霰,Q:二十四敬	第七部
倪	平	P:四支,P:八齐	第三部
倬	入	R:三觉	
倭	平	P:四支,P:五歌	第九部
债	去	Q:十卦	第五部
值	去入	Q:四寘,R:十三职	第三部,第十七部
倾	平	P:八庚	第十一部
偁	平	P:十蒸	
偃	上	S:十三阮	第七部
偆	上	S:十一轸	
假	上去入	S:二十一马,Q:二十二祃,R:十一陌	第十部
偈	去入	Q:八霁,R:九屑	
偊	上	S:七麌	
