view,nearest_group,cosine,ranking(group=cos; smaller_rank=closer)
func,发现存疑,0.4308,发现存疑(0.431) > 王越(0.299) > 对照(0.185) > 岳飞(0.170)
uni,发现存疑,0.4440,发现存疑(0.444) > 王越(0.278) > 岳飞(0.242) > 对照(0.065)
bi,发现存疑,0.3151,发现存疑(0.315) > 岳飞(0.017) > 王越(0.003) > 对照(0.000)
