train_group,train_chars,ppl_full,ce_bits_full,train_chars_trunc,ppl_equal_len,ce_bits_equal_len
发现存疑,186,609.15,9.2507,93,645.98,9.3353
对照,93,999.17,9.9646,93,999.17,9.9646
岳飞,848,950.05,9.8919,93,964.57,9.9137
王越,1240,991.39,9.9533,93,999.30,9.9648
